;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Curve Configuration;;;;;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;Today;13/09/2012;Calendar;CDR=TE;;;;;;;;;;;;;;;;;;;;;;
;Contributor;;ICPL;;;T+2;17/09/2012;Bus Day Adj;BusDayAdj=-2;;;;;;;;;;;;;;;;;;;;;;
;Contribuor (for Swaps);;ICPL;;;Pricing Source;ICPL/ICPL;Fx Prefix;EU;;;;;;;;;;;;;;;;;;;;;;
10000;Update curve every ;;5;seconds;;Futures;ER;Calendar Code;TE;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Raw Curve Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;ASK;BID;MID;Adjustment;Num Periods;Period;Start Date;Settle Date;;;;;;;;;;;;;;;;;;;;;
;9 YR;EUSA9 ICPL Index;1,7340%;1,6940%;1,7140%;;9;y;;17/09/2021;;;;;;;;;;;;;;;;;;;;;
;10 YR;EUSA10 ICPL Index;1,8580%;1,8180%;1,8380%;;10;y;;19/09/2022;;;;;;;;;;;;;;;;;;;;;
;12 YR;EUSA12 ICPL Index;2,0700%;2,0300%;2,0500%;;12;y;;17/09/2024;;;;;;;;;;;;;;;;;;;;;
;15 YR;EUSA15 ICPL Index;2,2730%;2,2330%;2,2530%;;15;y;;17/09/2027;;;;;;;;;;;;;;;;;;;;;
;20 YR;EUSA20 ICPL Index;2,3760%;2,3360%;2,3560%;;20;y;;17/09/2032;;;;;;;;;;;;;;;;;;;;;
;25 YR;EUSA25 ICPL Index;2,4100%;2,3700%;2,3900%;;25;y;;17/09/2037;;;;;;;;;;;;;;;;;;;;;
;30 YR;EUSA30 ICPL Index;2,4320%;2,3920%;2,4120%;;30;y;;17/09/2042;;;;;;;;;;;;;;;;;;;;;
;35 YR;EUSA35 ICPL Index;2,4740%;2,4340%;2,4540%;;35;y;;17/09/2047;;;;;;;;;;;;;;;;;;;;;
;40 YR;EUSA40 ICPL Index;2,5270%;2,4870%;2,5070%;;40;y;;17/09/2052;;;;;;;;;;;;;;;;;;;;;
;45 YR;EUSA45 ICPL Index;;;;;45;y;;17/09/2057;;;;;;;;;;;;;;;;;;;;;
;50 YR;EUSA50 ICPL Index;2,6080%;2,5680%;2,5880%;;50;y;;18/09/2062;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;LAST PRICE;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fixing;Euribor 6M;EUR006M Index;0,493%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
